タイムスタンプ,	王様のCSのURL	,	地図上のX軸,		地図上のY軸
6/27/2019 21:23:28,https://twitter.com/s2_mitu27toko/status/1138424327215374337,325,583
6/27/2019 21:37:08,https://twitter.com/chan_tyta/status/1123928104454557701,272,528
6/29/2019 8:50:38,https://twitter.com/nicho_mekichi/status/1091913451675430912,345,355
6/29/2019 8:52:12,https://twitter.com/gerusemihunosu/status/1091991509178540033,316,333
6/29/2019 8:55:56,https://twitter.com/Nutty_lol/status/1092066298375266313,624,270
6/29/2019 8:56:45,https://twitter.com/imaringo13/status/1092175907597410304,357,263
6/29/2019 8:58:43,https://twitter.com/Crowsche/status/1092887228701859841,809,96
6/29/2019 8:59:24,https://twitter.com/scam_me/status/1093121674956791808,945,626
6/29/2019 9:00:13,https://twitter.com/tanabeurines/status/1093179958451556353,35,195
6/29/2019 9:00:51,https://twitter.com/scam_me/status/1093477867416018944,283,205
6/29/2019 9:01:46,https://twitter.com/xperlunas/status/1093540661955940352,375,261
6/29/2019 9:02:24,https://twitter.com/yrntbr00/status/1095628578488705024,633,624
6/29/2019 9:03:04,https://twitter.com/uno_niki_51/status/1096393849121824768,708,277
6/29/2019 9:03:35,https://twitter.com/Soh_Wora/status/1097814427141758977,713,402
6/29/2019 9:05:35,https://twitter.com/ccc_pt/status/1097824879036878849,627,459
6/29/2019 9:06:08,https://twitter.com/sio_prj/status/1097865423343808512,954,649
6/29/2019 9:06:47,https://twitter.com/josm_josm/status/1099595015972503552,1093,148
6/29/2019 9:08:46,https://twitter.com/bbqch/status/1101879624550633472,579,274
6/29/2019 9:09:21,https://twitter.com/shin_1682/status/1102161015255400448,410,197
6/29/2019 9:10:12,https://twitter.com/8_56/status/1102523993360261122,694,551
